fascinate,～を魅了する
compose,（詩など）をつくる
literature,文学
preserve,～を守る
restore,～を修復する
tragedy,悲劇
praise,～をほめる
deserve,～に値する
efficient,効率的な
reputation,評判
valuable,高価な
worth,価値がある
accuse,～を非難する
vain,むだな
govern,～を統治する
mayor,市長
politics,政治
president,大統領
settle,～を解決する
urge,～を促す
barely,かろうじて
deprive,～を奪う
obstacle,障害（物）
nod,うなずき
seize,～をつかむ
yell,どなる
arrest,～を逮捕する
commit,～を犯す
innocent,罪のない
jail,留置所
prison,刑務所
proof,証拠
witness,目撃者
abundant,豊富な
amount,量
calculate,～を計算する
excess,過剰
numerous,多数の
proportion,割合
quantity,数量
destination,目的地
depart,出発する
voyage,（宇宙）旅行
reserve,～を予約する
rest,休む
decrease,減少する
expand,～を拡大する
extend,～を延長する
restrict,～を制限する
rise,増加する
aside,わきへ
edge,端
internal,内部の
neaby,近くの
surface,表面
general,一般の
abstract,抽象的な
complex,複雑な
sort,種類
ordinary,平凡な
extent,程度
extraordinary,並外れた
extreme,極端な
highly,非常に
huge,ばく大な
incredible,信じられない
intense,強烈な
initial,最初の
sequence,順番
a series of ～,一連のA